Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure,Type of Rate,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure Notes,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure Description,Total Number of Birth Hospitalizations,Total Number of Birth Hospitalizations Notes,Total Number of Birth Hospitalizations Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude/Longitude
County,Bradford,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),123,,Live births in hospitals,8,08,42,015,"(41.7911781401, -76.5182562384)",POINT (-76.5182562384 41.7911781401)
County,McKean,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),71,,Live births in hospitals,42,42,42,083,"(41.810370736, -78.5712201998)",POINT (-78.57122019980001 41.810370736)
County,Crawford,All,<1 month,2017,2017 Q1,1/1/2017-3/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),214,,Live births in hospitals,20,20,42,039,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692)
County,Cameron,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),8,Not displayed when total number of birth hospitalizations is less than 11,Live births in hospitals,12,12,42,023,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531)
County,Lebanon,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),405,,Live births in hospitals,38,38,42,075,"(40.3675970024, -76.4618257486)",POINT (-76.4618257486 40.3675970024)
County,Erie,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,15.58,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",11,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),706,,Live births in hospitals,25,25,42,049,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702)
County,Sullivan,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),12,,Live births in hospitals,57,57,42,113,"(41.4480993958, -76.5147922046)",POINT (-76.5147922046 41.4480993958)
County,Potter,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),35,,Live births in hospitals,53,53,42,105,"(41.7442064382, -77.8987922939)",POINT (-77.8987922939 41.7442064382)
County,Warren,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),325,,Live births in hospitals,62,62,42,123,"(41.8167523652, -79.278581578)",POINT (-79.278581578 41.8167523652)
County,Bedford,All,<1 month,2017,2017 Q1,1/1/2017-3/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),86,,Live births in hospitals,5,05,42,009,"(40.0073753643, -78.4911647381)",POINT (-78.4911647381 40.0073753643)
County,Schuylkill,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,47.89,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",17,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),355,,Live births in hospitals,54,54,42,107,"(40.707512431, -76.223323851)",POINT (-76.223323851 40.707512431000005)
County,Perry,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),118,,Live births in hospitals,50,50,42,099,"(40.4041531744, -77.2590738496)",POINT (-77.2590738496 40.4041531744)
County,Lebanon,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),368,,Live births in hospitals,38,38,42,075,"(40.3675970024, -76.4618257486)",POINT (-76.4618257486 40.3675970024)
County,Montour,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),41,,Live births in hospitals,47,47,42,093,"(41.0280182438, -76.6647052668)",POINT (-76.6647052668 41.0280182438)
County,Clinton,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),75,,Live births in hospitals,18,18,42,035,"(41.2328627374, -77.6428376046)",POINT (-77.6428376046 41.2328627374)
State,Commonwealth,Female,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,21.91,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",331,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),15106,,Live births in hospitals,0,00,42,000,"(39.346129, -75.167756)",POINT (-75.167756 39.346129)
County,Mifflin,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),93,,Live births in hospitals,44,44,42,087,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804)
County,Cumberland,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),629,,Live births in hospitals,21,21,42,041,"(40.167598388, -77.268662705)",POINT (-77.268662705 40.167598388)
County,Mifflin,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),106,,Live births in hospitals,44,44,42,087,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804)
County,Allegheny,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,24.79,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",318,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),12830,,Live births in hospitals,2,02,42,003,"(40.4673554298, -79.9861984282)",POINT (-79.9861984282 40.4673554298)
County,Wayne,All,<1 month,2017,2017 Q1,1/1/2017-3/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),67,,Live births in hospitals,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525)
County,Mercer,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,58.94,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",62,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1052,,Live births in hospitals,43,43,42,085,"(41.302377765, -80.2600941079)",POINT (-80.26009410790002 41.302377765)
County,Butler,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,26.86,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",13,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),484,,Live births in hospitals,10,10,42,019,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483)
County,Clarion,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),67,,Live births in hospitals,16,16,42,031,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877)
County,Blair,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,22.28,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",27,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1212,,Live births in hospitals,7,07,42,013,"(40.4855502384, -78.349076871)",POINT (-78.349076871 40.4855502384)
County,Fayette,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,52.81,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",16,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),303,,Live births in hospitals,26,26,42,051,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803)
County,Snyder,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),92,,Live births in hospitals,55,55,42,109,"(40.7711373692, -77.0725596804)",POINT (-77.0725596804 40.7711373692)
County,Juniata,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),205,,Live births in hospitals,34,34,42,067,"(40.5343300836, -77.405775001)",POINT (-77.405775001 40.5343300836)
County,Berks,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,19.63,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",22,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1121,,Live births in hospitals,6,06,42,011,"(40.4193963513, -75.9307732705)",POINT (-75.93077327050001 40.4193963513)
County,Northumberland,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),203,,Live births in hospitals,49,49,42,097,"(40.8515092572, -76.7118842273)",POINT (-76.7118842273 40.8515092572)
County,Forest,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),10,Not displayed when total number of birth hospitalizations is less than 11,Live births in hospitals,27,27,42,053,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577)
County,Beaver,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),380,,Live births in hospitals,4,04,42,007,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548)
County,Potter,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),23,,Live births in hospitals,53,53,42,105,"(41.7442064382, -77.8987922939)",POINT (-77.8987922939 41.7442064382)
State,Commonwealth,Male,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,25.08,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",436,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),17384,,Live births in hospitals,0,00,42,000,"(39.346129, -75.167756)",POINT (-75.167756 39.346129)
County,Dauphin,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,22.27,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",20,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),898,,Live births in hospitals,22,22,42,043,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597)
County,Lawrence,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),223,,Live births in hospitals,37,37,42,073,"(40.9932503514, -80.3375411446)",POINT (-80.3375411446 40.9932503514)
County,Allegheny,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,19.93,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",250,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),12547,,Live births in hospitals,2,02,42,003,"(40.4673554298, -79.9861984282)",POINT (-79.9861984282 40.4673554298)
County,Fulton,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),29,,Live births in hospitals,29,29,42,057,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086)
County,Cumberland,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),611,,Live births in hospitals,21,21,42,041,"(40.167598388, -77.268662705)",POINT (-77.268662705 40.167598388)
County,Lehigh,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,20.24,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",80,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),3952,,Live births in hospitals,39,39,42,077,"(40.6146479416, -75.6009948118)",POINT (-75.6009948118 40.6146479416)
County,Elk,All,<1 month,2017,2017 Q1,1/1/2017-3/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),59,,Live births in hospitals,24,24,42,047,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606)
County,Venango,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,110.00,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",11,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),100,,Live births in hospitals,61,61,42,121,"(41.4034125863, -79.7628656104)",POINT (-79.7628656104 41.4034125863)
County,Centre,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,12.89,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",14,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1086,,Live births in hospitals,14,14,42,027,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008)
County,Lycoming,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),263,,Live births in hospitals,41,41,42,081,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226)
County,Washington,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,33.68,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",16,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),475,,Live births in hospitals,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345)
County,Juniata,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),55,,Live births in hospitals,34,34,42,067,"(40.5343300836, -77.405775001)",POINT (-77.405775001 40.5343300836)
County,Fayette,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,51.61,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",16,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),310,,Live births in hospitals,26,26,42,051,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803)
County,Northumberland,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),243,,Live births in hospitals,49,49,42,097,"(40.8515092572, -76.7118842273)",POINT (-76.7118842273 40.8515092572)
County,Dauphin,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),829,,Live births in hospitals,22,22,42,043,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597)
County,Wyoming,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),232,,Live births in hospitals,66,66,42,131,"(41.5189248803, -76.0181300338)",POINT (-76.0181300338 41.5189248803)
County,Cameron,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),14,,Live births in hospitals,12,12,42,023,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531)
County,Cameron,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),4,Not displayed when total number of birth hospitalizations is less than 11,Live births in hospitals,12,12,42,023,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531)
